<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TTT,20201027,39,39,38,38,600
TTZ,20201027,4.3,4.3,4.2,4.2,101100
TV4,20201027,12.9,12.9,12.9,12.9,836
TVC,20201027,10.5,10.8,10.4,10.7,918816
TVD,20201027,6.2,6.2,6.1,6.1,5000
TXM,20201027,4.2,4.8,4.1,4.4,29400
V12,20201027,9.3,9.5,9.3,9.5,400
V21,20201027,4.8,4.8,4.8,4.8,700
VBC,20201027,16.8,17.6,16.8,17.6,3700
VC1,20201027,6.9,8.2,6.9,8.2,200
VC2,20201027,10.6,11.2,10.5,11.2,5227
VC3,20201027,16.6,16.7,16.5,16.7,173200
VC7,20201027,4,4,4,4,4300
VC9,20201027,4.9,4.9,4.6,4.6,1800
VCG,20201027,41,42.4,41,41.1,478466
VCS,20201027,77,77.3,75.2,75.5,261173
VE4,20201027,6.2,6.2,6.2,6.2,400
VE9,20201027,1.3,1.3,1.3,1.3,1102
VGS,20201027,8.1,8.2,7.9,8.2,73106
VHE,20201027,5.1,5.1,5.1,5.1,66420
VIG,20201027,1.1,1.1,1,1.1,129800
VIT,20201027,14.2,14.2,14.2,14.2,1533
VIX,20201027,12.2,12.2,11.4,11.4,1016194
VKC,20201027,4.1,4.1,4,4,105600
VMC,20201027,10.2,10.2,10.2,10.2,3022
VMS,20201027,6.5,6.5,6,6,2100
VNC,20201027,33.6,33.6,33.6,33.6,139
VNR,20201027,19,19,18.6,18.6,3600
VSA,20201027,15.3,15.3,15.3,15.3,3300
VSM,20201027,11,11,11,11,1000
VTC,20201027,8.1,8.1,8,8,526
VTJ,20201027,3.7,3.8,3.7,3.8,5400
VTL,20201027,15,15,15,15,8600
WCS,20201027,202,202,202,202,120
WSS,20201027,2.1,2.2,2,2,9200
